,SUB_CODE,Garda_Station
0,5671E,"23101 Ahascragh, Galway Division"
1,5401A,"23401 Ardrahan, Galway Division"
2,5247G,"23302 Athenry, Galway Division"
3,5670G,"23102 Ballinasloe, Galway Division"
4,5606E,"23103 Ballygar, Galway Division"
5,5807F,"23802 Barnaderg, Galway Division"
6,5254L,"23202 Carna, Galway Division"
7,5352L,"23601 An Cheathru Rua, Galway Division"
8,5250G,"23203 Clifden, Galway Division"
10,5402L,"23402 Craughwell, Galway Division"
11,5605G,"23104 Creggs, Galway Division"
12,5805L,"23804 Dunmore, Galway Division"
13,5306F,"23501 Eyrecourt, Galway Division"
14,5240L,"23304 Gaillimh, Galway Division"
15,5804A,"23805 Glenamaddy, Galway Division"
16,5400C,"23403 Gort, Galway Division"
17,5245M,"23806 Headford, Galway Division"
18,5358K,"23604 Cill Ronain, Galway Division"
19,5673A,"23106 Kiltormer, Galway Division"
20,5403H,"23406 Kinvara, Galway Division"
21,5356B,"23606 Leitir Mor, Galway Division"
22,5252C,"23206 Letterfrack, Galway Division"
23,5244B,"23306 Leach Seoirse, Galway Division"
24,5300G,"23504 Loughrea, Galway Division"
25,5255H,"23201 An Maim, Galway Division"
26,5802E,"23808 Milltown, Galway Division"
27,5248E,"23307 Monivea, Galway Division"
28,5675H,"23108 Mountbellew, Galway Division"
29,5351A,"23607 Maigh Cuilinn, Galway Division"
30,5678B,"23109 Moylough, Galway Division"
32,5350C,"23608 Oughterard, Galway Division"
33,5307D,"23506 Portumna, Galway Division"
34,5251E,"23207 Sraith Salach, Galway Division"
35,5353H,"23609 Ros Muc, Galway Division"
36,5256F,"23204 Cloch na Ron, Galway Division"
37,5357M,"23603 Bothar Na Tra, Galway Division"
38,5355D,"23602 An Spideal, Galway Division"
39,5800K,"23809 Tuam, Galway Division"
40,5801G,"23810 Williamstown, Galway Division"
41,5304L,"23508 Woodford, Galway Division"
42,5354F,"23605 Indreabhain, Galway Division"
43,5672C,"23105 Kilconnell, Galway Division"
44,5303A,"23502 Killimor, Galway Division"
45,5308B,"23503 Kilrickle, Galway Division"
